1,Wilhelm Conrad Röntgen,1845-03-27,1901,physics,male,Württemberg
2,Hendrik A. Lorentz,1853-07-18,1902,physics,male,the Netherlands
3,Pieter Zeeman,1865-05-25,1902,physics,male,the Netherlands
4,Henri Becquerel,1852-12-15,1903,physics,male,France
5,Pierre Curie,1859-05-15,1903,physics,male,France
6,Marie Curie,1867-11-07,1903;1911,chemistry;physics,female,Prussia
8,Lord Rayleigh,1842-11-12,1904,physics,male,United Kingdom
9,Philipp Lenard,1862-06-07,1905,physics,male,Slovakia
10,J.J. Thomson,1856-12-18,1906,physics,male,United Kingdom
11,Albert A. Michelson,1852-12-19,1907,physics,male,Prussia
12,Gabriel Lippmann,1845-08-16,1908,physics,male,Luxembourg
13,Guglielmo Marconi,1874-04-25,1909,physics,male,Tuscany
14,Ferdinand Braun,1850-06-06,1909,physics,male,Württemberg
15,Johannes Diderik van der Waals,1837-11-23,1910,physics,male,the Netherlands
16,Wilhelm Wien,1864-01-13,1911,physics,male,USSR
17,Gustaf Dalén,1869-11-30,1912,physics,male,Sweden
18,Heike Kamerlingh Onnes,1853-09-21,1913,physics,male,the Netherlands
19,Max von Laue,1879-10-09,1914,physics,male,Württemberg
20,William Bragg,1862-07-02,1915,physics,male,United Kingdom
21,Lawrence Bragg,1890-03-31,1915,physics,male,Australia
22,Charles Glover Barkla,1877-06-07,1917,physics,male,United Kingdom
23,Max Planck,1858-04-23,1918,physics,male,Württemberg
24,Johannes Stark,1874-04-15,1919,physics,male,Württemberg
25,Charles Edouard Guillaume,1861-02-15,1920,physics,male,Switzerland
26,Albert Einstein,1879-03-14,1921,physics,male,Württemberg
27,Niels Bohr,1885-10-07,1922,physics,male,Faroe Islands (Denmark)
28,Robert A. Millikan,1868-03-22,1923,physics,male,USA
29,Manne Siegbahn,1886-12-03,1924,physics,male,Sweden
30,James Franck,1882-08-26,1925,physics,male,Württemberg
31,Gustav Hertz,1887-07-22,1925,physics,male,Württemberg
32,Jean Baptiste Perrin,1870-09-30,1926,physics,male,France
33,Arthur H. Compton,1892-09-10,1927,physics,male,USA
34,C.T.R. Wilson,1869-02-14,1927,physics,male,United Kingdom
35,Owen Willans Richardson,1879-04-26,1928,physics,male,United Kingdom
36,Louis de Broglie,1892-08-15,1929,physics,male,France
37,Sir Chandrasekhara Venkata Raman,1888-11-07,1930,physics,male,India
38,Werner Heisenberg,1901-12-05,1932,physics,male,Württemberg
39,Erwin Schrödinger,1887-08-12,1933,physics,male,Austria
40,Paul A.M. Dirac,1902-08-08,1933,physics,male,United Kingdom
41,James Chadwick,1891-10-20,1935,physics,male,United Kingdom
42,Victor F. Hess,1883-06-24,1936,physics,male,Austria
43,Carl D. Anderson,1905-09-03,1936,physics,male,USA
44,Clinton Davisson,1881-10-22,1937,physics,male,USA
45,George Paget Thomson,1892-05-03,1937,physics,male,United Kingdom
46,Enrico Fermi,1901-09-29,1938,physics,male,Tuscany
47,Ernest Lawrence,1901-08-08,1939,physics,male,USA
48,Otto Stern,1888-02-17,1943,physics,male,Prussia
49,Isidor Isaac Rabi,1898-07-29,1944,physics,male,Prussia
50,Wolfgang Pauli,1900-04-25,1945,physics,male,Austria
51,Percy W. Bridgman,1882-04-21,1946,physics,male,USA
52,Edward V. Appleton,1892-09-06,1947,physics,male,United Kingdom
53,Patrick M.S. Blackett,1897-11-18,1948,physics,male,United Kingdom
54,Hideki Yukawa,1907-01-23,1949,physics,male,Japan
55,Cecil Powell,1903-12-05,1950,physics,male,United Kingdom
56,John Cockcroft,1897-05-27,1951,physics,male,United Kingdom
57,Ernest T.S. Walton,1903-10-06,1951,physics,male,Ireland
58,Felix Bloch,1905-10-23,1952,physics,male,Switzerland
59,E. M. Purcell,1912-08-30,1952,physics,male,USA
60,Frits Zernike,1888-07-16,1953,physics,male,the Netherlands
61,Max Born,1882-12-11,1954,physics,male,Prussia
62,Walther Bothe,1891-01-08,1954,physics,male,Württemberg
63,Willis E. Lamb,1913-07-12,1955,physics,male,USA
64,Polykarp Kusch,1911-01-26,1955,physics,male,Württemberg
65,William B. Shockley,1910-02-13,1956,physics,male,United Kingdom
66,John Bardeen,1908-05-23,1956;1972,physics,male,USA
67,Walter H. Brattain,1902-02-10,1956,physics,male,Tibet
68,Chen Ning Yang,1922-09-22,1957,physics,male,Tibet
69,Tsung-Dao Lee,1926-11-24,1957,physics,male,Tibet
70,Pavel A. Cherenkov,1904-07-28,1958,physics,male,USSR
71,Igor Y. Tamm,1895-07-08,1958,physics,male,USSR
72,Emilio Segrè,1905-02-01,1959,physics,male,Tuscany
73,Owen Chamberlain,1920-07-10,1959,physics,male,USA
74,Donald A. Glaser,1926-09-21,1960,physics,male,USA
75,Robert Hofstadter,1915-02-05,1961,physics,male,USA
76,Rudolf Mössbauer,1929-01-31,1961,physics,male,Württemberg
77,Lev Landau,1908-01-22,1962,physics,male,Russian Empire
78,Eugene Wigner,1902-11-17,1963,physics,male,Hungary
79,Maria Goeppert Mayer,1906-06-28,1963,physics,female,Prussia
80,J. Hans D. Jensen,1907-06-25,1963,physics,male,Württemberg
81,Charles H. Townes,1915-07-28,1964,physics,male,USA
82,Nicolay G. Basov,1922-12-14,1964,physics,male,USSR
83,Aleksandr M. Prokhorov,1916-07-11,1964,physics,male,Australia
84,Sin-Itiro Tomonaga,1906-03-31,1965,physics,male,Japan
85,Julian Schwinger,1918-02-12,1965,physics,male,USA
86,Richard P. Feynman,1918-05-11,1965,physics,male,USA
87,Alfred Kastler,1902-05-03,1966,physics,male,France
88,Hans Bethe,1906-07-02,1967,physics,male,France
89,Luis Alvarez,1911-06-13,1968,physics,male,USA
90,Murray Gell-Mann,1929-09-15,1969,physics,male,USA
91,Hannes Alfvén,1908-05-30,1970,physics,male,Sweden
92,Louis Néel,1904-11-22,1970,physics,male,France
93,Dennis Gabor,1900-06-05,1971,physics,male,Hungary
95,Leon N. Cooper,1930-02-28,1972,physics,male,USA
96,Robert Schrieffer,1931-05-31,1972,physics,male,USA
97,Leo Esaki,1925-03-12,1973,physics,male,Japan
98,Ivar Giaever,1929-04-05,1973,physics,male,Norway
99,Brian D. Josephson,1940-01-04,1973,physics,male,United Kingdom
100,Martin Ryle,1918-09-27,1974,physics,male,United Kingdom
101,Antony Hewish,1924-05-11,1974,physics,male,United Kingdom
102,Aage N. Bohr,1922-06-19,1975,physics,male,Faroe Islands (Denmark)
103,Ben R. Mottelson,1926-07-09,1975,physics,male,USA
104,James Rainwater,1917-12-09,1975,physics,male,USA
105,Burton Richter,1931-03-22,1976,physics,male,USA
106,Samuel C.C. Ting,1936-01-27,1976,physics,male,USA
107,Philip W. Anderson,1923-12-13,1977,physics,male,USA
108,Sir Nevill F. Mott,1905-09-30,1977,physics,male,United Kingdom
109,John H. Van Vleck,1899-03-13,1977,physics,male,USA
110,Pyotr Kapitsa,1894-07-09,1978,physics,male,USSR
111,Arno Penzias,1933-04-26,1978,physics,male,Württemberg
112,Robert Woodrow Wilson,1936-01-10,1978,physics,male,USA
113,Sheldon Glashow,1932-12-05,1979,physics,male,USA
114,Abdus Salam,1926-01-29,1979,physics,male,Pakistan
115,Steven Weinberg,1933-05-03,1979,physics,male,USA
116,James Cronin,1931-09-29,1980,physics,male,USA
117,Val Fitch,1923-03-10,1980,physics,male,USA
118,Nicolaas Bloembergen,1920-03-11,1981,physics,male,the Netherlands
119,Arthur L. Schawlow,1921-05-05,1981,physics,male,USA
120,Kai M. Siegbahn,1918-04-20,1981,physics,male,Sweden
121,Kenneth G. Wilson,1936-06-08,1982,physics,male,USA
122,Subramanyan Chandrasekhar,1910-10-19,1983,physics,male,Pakistan
123,William A. Fowler,1911-08-09,1983,physics,male,USA
124,Carlo Rubbia,1934-03-31,1984,physics,male,Tuscany
125,Simon van der Meer,1925-11-24,1984,physics,male,the Netherlands
126,Klaus von Klitzing,1943-06-28,1985,physics,male,Prussia
127,Ernst Ruska,1906-12-25,1986,physics,male,Württemberg
128,Gerd Binnig,1947-07-20,1986,physics,male,Württemberg
129,Heinrich Rohrer,1933-06-06,1986,physics,male,Switzerland
130,J. Georg Bednorz,1950-05-16,1987,physics,male,Württemberg
131,K. Alex Müller,1927-04-20,1987,physics,male,Switzerland
132,Leon M. Lederman,1922-07-15,1988,physics,male,USA
133,Melvin Schwartz,1932-11-02,1988,physics,male,USA
134,Jack Steinberger,1921-05-25,1988,physics,male,Württemberg
135,Norman F. Ramsey,1915-08-27,1989,physics,male,USA
136,Hans G. Dehmelt,1922-09-09,1989,physics,male,Württemberg
137,Wolfgang Paul,1913-08-10,1989,physics,male,Württemberg
138,Jerome I. Friedman,1930-03-28,1990,physics,male,USA
139,Henry W. Kendall,1926-12-09,1990,physics,male,USA
140,Richard E. Taylor,1929-11-02,1990,physics,male,Canada
141,Pierre-Gilles de Gennes,1932-10-24,1991,physics,male,France
142,Georges Charpak,1924-08-01,1992,physics,male,Prussia
143,Russell A. Hulse,1950-11-28,1993,physics,male,USA
144,Joseph H. Taylor Jr.,1941-03-29,1993,physics,male,USA
145,Bertram N. Brockhouse,1918-07-15,1994,physics,male,Canada
146,Clifford G. Shull,1915-09-23,1994,physics,male,USA
147,Martin L. Perl,1927-06-24,1995,physics,male,USA
148,Frederick Reines,1918-03-16,1995,physics,male,USA
149,David M. Lee,1931-01-20,1996,physics,male,USA
